INFO  - 2019-04-24 21:08:11.439; org.apache.solr.core.SolrResourceLoader; Adding 'file:/D:/Materials/Python/djangoProject/solr-4.10.4/contrib/extraction/lib/icu4j-53.1.jar' to classloader
INFO  - 2019-04-24 21:08:11.440; org.apache.solr.core.SolrResourceLoader; Adding 'file:/D:/Materials/Python/djangoProject/solr-4.10.4/contrib/extraction/lib/isoparser-1.0-RC-1.jar' to classloader
INFO  - 2019-04-24 21:08:11.446; org.apache.solr.core.SolrResourceLoader; Adding 'file:/D:/Materials/Python/djangoProject/solr-4.10.4/contrib/extraction/lib/jdom-1.0.jar' to classloader
INFO  - 2019-04-24 21:08:11.447; org.apache.solr.core.SolrResourceLoader; Adding 'file:/D:/Materials/Python/djangoProject/solr-4.10.4/contrib/extraction/lib/jempbox-1.8.4.jar' to classloader
INFO  - 2019-04-24 21:08:11.448; org.apache.solr.core.SolrResourceLoader; Adding 'file:/D:/Materials/Python/djangoProject/solr-4.10.4/contrib/extraction/lib/jhighlight-1.0.jar' to classloader
INFO  - 2019-04-24 21:08:11.448; org.apache.solr.core.SolrResourceLoader; Adding 'file:/D:/Materials/Python/djangoProject/solr-4.10.4/contrib/extraction/lib/juniversalchardet-1.0.3.jar' to classloader
INFO  - 2019-04-24 21:08:11.449; org.apache.solr.core.SolrResourceLoader; Adding 'file:/D:/Materials/Python/djangoProject/solr-4.10.4/contrib/extraction/lib/metadata-extractor-2.6.2.jar' to classloader
INFO  - 2019-04-24 21:08:11.450; org.apache.solr.core.SolrResourceLoader; Adding 'file:/D:/Materials/Python/djangoProject/solr-4.10.4/contrib/extraction/lib/pdfbox-1.8.4.jar' to classloader
INFO  - 2019-04-24 21:08:11.451; org.apache.solr.core.SolrResourceLoader; Adding 'file:/D:/Materials/Python/djangoProject/solr-4.10.4/contrib/extraction/lib/poi-3.10.1.jar' to classloader
INFO  - 2019-04-24 21:08:11.452; org.apache.solr.core.SolrResourceLoader; Adding 'file:/D:/Materials/Python/djangoProject/solr-4.10.4/contrib/extraction/lib/poi-ooxml-3.10.1.jar' to classloader
INFO  - 2019-04-24 21:08:11.453; org.apache.solr.core.SolrResourceLoader; Adding 'file:/D:/Materials/Python/djangoProject/solr-4.10.4/contrib/extraction/lib/poi-ooxml-schemas-3.10.1.jar' to classloader
INFO  - 2019-04-24 21:08:11.454; org.apache.solr.core.SolrResourceLoader; Adding 'file:/D:/Materials/Python/djangoProject/solr-4.10.4/contrib/extraction/lib/poi-scratchpad-3.10.1.jar' to classloader
INFO  - 2019-04-24 21:08:11.460; org.apache.solr.core.SolrResourceLoader; Adding 'file:/D:/Materials/Python/djangoProject/solr-4.10.4/contrib/extraction/lib/rome-0.9.jar' to classloader
INFO  - 2019-04-24 21:08:11.462; org.apache.solr.core.SolrResourceLoader; Adding 'file:/D:/Materials/Python/djangoProject/solr-4.10.4/contrib/extraction/lib/tagsoup-1.2.1.jar' to classloader
INFO  - 2019-04-24 21:08:11.463; org.apache.solr.core.SolrResourceLoader; Adding 'file:/D:/Materials/Python/djangoProject/solr-4.10.4/contrib/extraction/lib/tika-core-1.5.jar' to classloader
INFO  - 2019-04-24 21:08:11.464; org.apache.solr.core.SolrResourceLoader; Adding 'file:/D:/Materials/Python/djangoProject/solr-4.10.4/contrib/extraction/lib/tika-parsers-1.5.jar' to classloader
INFO  - 2019-04-24 21:08:11.466; org.apache.solr.core.SolrResourceLoader; Adding 'file:/D:/Materials/Python/djangoProject/solr-4.10.4/contrib/extraction/lib/tika-xmp-1.5.jar' to classloader
INFO  - 2019-04-24 21:08:11.467; org.apache.solr.core.SolrResourceLoader; Adding 'file:/D:/Materials/Python/djangoProject/solr-4.10.4/contrib/extraction/lib/vorbis-java-core-0.1.jar' to classloader
